"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12806","Verify successful payment and order confirmation Verify payment with method: Gift Card","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutPaymentPageTest","org.example.tools.tests.CheckoutPaymentPageTest","testPaymentConfirmation"
"","3358","Check that a product can be added to a shopping cart and success message is shown Run 2: qtyToAdd = 3","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.ProductPageTest","org.example.tools.tests.ProductPageTest","testAddToCart"
"","12486","Verify successful payment and order confirmation Verify payment with method: Cash on Delivery","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutPaymentPageTest","org.example.tools.tests.CheckoutPaymentPageTest","testPaymentConfirmation"
"","4734","Check sorting of products by price from High to Low","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","sortingByPriceHighToLow_shouldOrderProductsByDescendingPrice"
"","1792","Categories is visible in the header","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HeaderTest","org.example.tools.tests.HeaderTest","testIfCategoriesIsVisible"
"","5210","Check sorting of products by price from Low to High","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","sortingByPriceLowToHigh_shouldOrderProductsByAscendingPrice"
"","1906","Check Home page title","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","homePageTitle_shouldMatchExpected"
"","12715","Verify successful payment and order confirmation Verify payment with method: Credit Card","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutPaymentPageTest","org.example.tools.tests.CheckoutPaymentPageTest","testPaymentConfirmation"
"","2925","Check that a product can be added to a shopping cart and success message is shown Run 1: qtyToAdd = 1","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.ProductPageTest","org.example.tools.tests.ProductPageTest","testAddToCart"
"","1809","Home is visible in the header","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HeaderTest","org.example.tools.tests.HeaderTest","testIfHomeIsVisible"
"","2668","Check number of products on Home page","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","homePage_shouldShowAllProductsFromApi"
"","2272","Profile displays current user info","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.ProfileDisplayTest","org.example.tools.tests.ProfileDisplayTest","profile_displaysCurrentUserInfo"
"","11865","Verify successful payment and order confirmation Verify payment with method: Buy Now Pay Later","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutPaymentPageTest","org.example.tools.tests.CheckoutPaymentPageTest","testPaymentConfirmation"
"","1996","Logging with registered user","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.LoginTest","org.example.tools.tests.LoginTest","testLoginWithRegisteredUser"
"","3117","Check that a product can be added to a shopping cart and success message is shown Run 3: qtyToAdd = 5","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.ProductPageTest","org.example.tools.tests.ProductPageTest","testAddToCart"
"","45321","Verify total price per cart","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutCartPageTest","org.example.tools.tests.CheckoutCartPageTest","cartTotal_matchesSumOfItems"
"","10188","Verify that after product is deleted, list of products in the cart is updated","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutCartPageTest","org.example.tools.tests.CheckoutCartPageTest","cart_updatesList_afterProductDeletion"
"","11065","Verify when a form is filled with valid data, customer can proceed to checkout","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutNameAddressTest","org.example.tools.tests.CheckoutNameAddressTest","testNameAddressFormSubmission"
"","1734","Contact is visible in the header","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HeaderTest","org.example.tools.tests.HeaderTest","testIfContactIsVisible"
"","20967","Verify products in the cart and their subtotal","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutCartPageTest","org.example.tools.tests.CheckoutCartPageTest","cart_contains_products_with_correct_subtotals"
"","3959","Check name, image and price of cards","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","productCards_shouldHaveNameImageAndPrice"
"","12725","Verify successful payment and order confirmation Verify payment with method: Bank Transfer","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutPaymentPageTest","org.example.tools.tests.CheckoutPaymentPageTest","testPaymentConfirmation"
"","5096","Check sorting of products by alphabet A-Z","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","sortingByNameAZ_shouldOrderProductsAlphabetically"
"","2766","Contact form can be submitted successfully","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.ContactTest","org.example.tools.tests.ContactTest","testSuccessfulContactFormSubmission"
"","13108","Check redirection to checkout","","2026-09-11","broken","2026-09-11","","org.example.tools.tests.ProductPageTest","org.example.tools.tests.ProductPageTest","testRedirectionToCheckout"
"","1","add_shouldReturnFour()","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.TestTest","org.example.tools.tests.TestTest","add_shouldReturnFour"
"","4508","Customer registration with valid data","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.RegistrationTest","org.example.tools.tests.RegistrationTest","testUserRegistration"
