"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4195","Check name, image and price of cards","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","productCards_shouldHaveNameImageAndPrice"
"","12184","Contact form can be submitted successfully","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.ContactTest","org.example.tools.tests.ContactTest","testSuccessfulContactFormSubmission"
"","5268","Check sorting of products by price from Low to High","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","sortingByPriceLowToHigh_shouldOrderProductsByAscendingPrice"
"","2008","Logging with registered user","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.LoginTest","org.example.tools.tests.LoginTest","testLoginWithRegisteredUser"
"","2131","Categories is visible in the header","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.HeaderTest","org.example.tools.tests.HeaderTest","testIfCategoriesIsVisible"
"","5332","Check sorting of products by price from High to Low","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","sortingByPriceHighToLow_shouldOrderProductsByDescendingPrice"
"","2802","Check number of products on Home page","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","homePage_shouldShowAllProductsFromApi"
"","1971","Contact is visible in the header","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.HeaderTest","org.example.tools.tests.HeaderTest","testIfContactIsVisible"
"","1446","Home is visible in the header","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.HeaderTest","org.example.tools.tests.HeaderTest","testIfHomeIsVisible"
"","13066","Check that a product can be added to a shopping cart and success message is shown Run 3: qtyToAdd = 5","","2026-09-09","broken","2026-09-09","","org.example.tools.tests.ProductPageTest","org.example.tools.tests.ProductPageTest","testAddToCart"
"","2454","Profile displays current user info","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.ProfileDisplayTest","org.example.tools.tests.ProfileDisplayTest","profile_displaysCurrentUserInfo"
"","3435","Check that a product can be added to a shopping cart and success message is shown Run 1: qtyToAdd = 1","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.ProductPageTest","org.example.tools.tests.ProductPageTest","testAddToCart"
"","0","add_shouldReturnFour()","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.TestTest","org.example.tools.tests.TestTest","add_shouldReturnFour"
"","1985","Check Home page title","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","homePageTitle_shouldMatchExpected"
"","4207","Customer registration with valid data","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.RegistrationTest","org.example.tools.tests.RegistrationTest","testUserRegistration"
"","4910","Check sorting of products by alphabet A-Z","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","sortingByNameAZ_shouldOrderProductsAlphabetically"
"","13304","Check redirection to checkout","","2026-09-09","broken","2026-09-09","","org.example.tools.tests.ProductPageTest","org.example.tools.tests.ProductPageTest","testRedirectionToCheckout"
"","12793","Check that a product can be added to a shopping cart and success message is shown Run 2: qtyToAdd = 3","","2026-09-09","broken","2026-09-09","","org.example.tools.tests.ProductPageTest","org.example.tools.tests.ProductPageTest","testAddToCart"
