"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12843","Check redirection to checkout","","2026-09-11","broken","2026-09-11","","org.example.tools.tests.ProductPageTest","org.example.tools.tests.ProductPageTest","testRedirectionToCheckout"
"","12047","Verify successful payment and order confirmation Verify payment with method: Cash on Delivery","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutPaymentPageTest","org.example.tools.tests.CheckoutPaymentPageTest","testPaymentConfirmation"
"","4845","Check sorting of products by price from High to Low","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","sortingByPriceHighToLow_shouldOrderProductsByDescendingPrice"
"","13470","Verify successful payment and order confirmation Verify payment with method: Bank Transfer","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutPaymentPageTest","org.example.tools.tests.CheckoutPaymentPageTest","testPaymentConfirmation"
"","11905","Verify successful payment and order confirmation Verify payment with method: Gift Card","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutPaymentPageTest","org.example.tools.tests.CheckoutPaymentPageTest","testPaymentConfirmation"
"","1","add_shouldReturnFour()","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.TestTest","org.example.tools.tests.TestTest","add_shouldReturnFour"
"","12734","Verify successful payment and order confirmation Verify payment with method: Buy Now Pay Later","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutPaymentPageTest","org.example.tools.tests.CheckoutPaymentPageTest","testPaymentConfirmation"
"","10541","Verify that after product is deleted, list of products in the cart is updated","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutCartPageTest","org.example.tools.tests.CheckoutCartPageTest","cart_updatesList_afterProductDeletion"
"","62314","Verify total price per cart","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutCartPageTest","org.example.tools.tests.CheckoutCartPageTest","cartTotal_matchesSumOfItems"
"","3514","Check that a product can be added to a shopping cart and success message is shown Run 2: qtyToAdd = 3","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.ProductPageTest","org.example.tools.tests.ProductPageTest","testAddToCart"
"","12427","Verify successful payment and order confirmation Verify payment with method: Credit Card","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutPaymentPageTest","org.example.tools.tests.CheckoutPaymentPageTest","testPaymentConfirmation"
"","2799","Contact form can be submitted successfully","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.ContactTest","org.example.tools.tests.ContactTest","testSuccessfulContactFormSubmission"
"","4607","Check name, image and price of cards","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","productCards_shouldHaveNameImageAndPrice"
"","3982","Customer registration with valid data","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.RegistrationTest","org.example.tools.tests.RegistrationTest","testUserRegistration"
"","1338","Home is visible in the header","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HeaderTest","org.example.tools.tests.HeaderTest","testIfHomeIsVisible"
"","5127","Check sorting of products by alphabet A-Z","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","sortingByNameAZ_shouldOrderProductsAlphabetically"
"","27774","Verify products in the cart and their subtotal","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutCartPageTest","org.example.tools.tests.CheckoutCartPageTest","cart_contains_products_with_correct_subtotals"
"","1938","Logging with registered user","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.LoginTest","org.example.tools.tests.LoginTest","testLoginWithRegisteredUser"
"","3531","Check that a product can be added to a shopping cart and success message is shown Run 3: qtyToAdd = 5","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.ProductPageTest","org.example.tools.tests.ProductPageTest","testAddToCart"
"","2244","Profile displays current user info","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.ProfileDisplayTest","org.example.tools.tests.ProfileDisplayTest","profile_displaysCurrentUserInfo"
"","1775","Categories is visible in the header","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HeaderTest","org.example.tools.tests.HeaderTest","testIfCategoriesIsVisible"
"","1271","Contact is visible in the header","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HeaderTest","org.example.tools.tests.HeaderTest","testIfContactIsVisible"
"","1939","Check Home page title","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","homePageTitle_shouldMatchExpected"
"","5126","Check sorting of products by price from Low to High","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","sortingByPriceLowToHigh_shouldOrderProductsByAscendingPrice"
"","3388","Check that a product can be added to a shopping cart and success message is shown Run 1: qtyToAdd = 1","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.ProductPageTest","org.example.tools.tests.ProductPageTest","testAddToCart"
"","11284","Verify when a form is filled with valid data, customer can proceed to checkout","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutNameAddressTest","org.example.tools.tests.CheckoutNameAddressTest","testNameAddressFormSubmission"
"","2206","Check number of products on Home page","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","homePage_shouldShowAllProductsFromApi"
